"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"00004d","field5 = Divorced & field10 = Hour21-35","field12 = <=50K",0.01582,515,0.01529,498,0.96699,0.00329,1.27371,2.31552e-09,0.75919,24720
"00004e","field7 = Not-in-family & field6 = Machine-op-inspct","field12 = <=50K",0.01416,461,0.01391,453,0.98265,0.00316,1.29433,2.00935e-20,0.75919,24720
"00004f","field3 = 9th","field12 = <=50K",0.01579,514,0.01496,487,0.94747,0.00297,1.248,4.26304e-31,0.75919,24720
"000050","field4 = EduNum5","field12 = <=50K",0.01579,514,0.01496,487,0.94747,0.00297,1.248,4.26304e-31,0.75919,24720
"000051","field10 = Hour1-20 & field4 = EduNum7","field12 = <=50K",0.00949,309,0.00949,309,1,0.00229,1.31719,6.39209e-09,0.75919,24720
"000052","field10 = Hour1-20 & field3 = 11th","field12 = <=50K",0.00949,309,0.00949,309,1,0.00229,1.31719,6.39209e-09,0.75919,24720
"000053","field3 = 12th","field12 = <=50K",0.0133,433,0.01228,400,0.92379,0.00219,1.21681,1.58017e-19,0.75919,24720
"000054","field4 = EduNum8","field12 = <=50K",0.0133,433,0.01228,400,0.92379,0.00219,1.21681,1.58017e-19,0.75919,24720
"000055","field5 = Married-spouse-absent","field12 = <=50K",0.01284,418,0.01179,384,0.91866,0.00205,1.21005,1.14251e-17,0.75919,24720
"000056","field4 = EduNum3","field12 = <=50K",0.01023,333,0.00974,317,0.95195,0.00197,1.2539,9.55134e-22,0.75919,24720
"000057","field3 = 5th-6th","field12 = <=50K",0.01023,333,0.00974,317,0.95195,0.00197,1.2539,9.55134e-22,0.75919,24720
"000058","field5 = Divorced & field6 = Machine-op-inspct","field12 = <=50K",0.00851,277,0.00838,273,0.98556,0.00193,1.29817,9.13836e-13,0.75919,24720
"000059","field8 = Other","field12 = <=50K",0.00832,271,0.00756,246,0.90775,0.00124,1.19568,2.23309e-10,0.75919,24720
"00005a","field8 = Amer-Indian-Eskimo","field12 = <=50K",0.00955,311,0.00845,275,0.88424,0.00119,1.16472,1.81114e-08,0.75919,24720
"00005b","field6 = Priv-house-serv","field12 = <=50K",0.00458,149,0.00455,148,0.99329,0.00107,1.30835,6.48042e-17,0.75919,24720
"00005c","field3 = 1st-4th","field12 = <=50K",0.00516,168,0.00498,162,0.96429,0.00106,1.27015,2.35065e-13,0.75919,24720
"00005d","field4 = EduNum2","field12 = <=50K",0.00516,168,0.00498,162,0.96429,0.00106,1.27015,2.35065e-13,0.75919,24720
