Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
39,field5 = Married-civ-spouse & field6 = Tech-support,field12 = >50K,0.01241,404,0.00749,244,0.60396,0.00451,2.50804,1.68E-71,0.24081,7841
00003a,field7 = Husband & field6 = Tech-support,field12 = >50K,0.01075,350,0.00648,211,0.60286,0.00389,2.50346,3.57E-53,0.24081,7841
00003b,field9 = Male & field2 = Self-emp-inc,field12 = >50K,0.03013,981,0.01784,581,0.59225,0.01059,2.45942,2.06E-10,0.24081,7841
00003c,field6 = Prof-specialty & field10 = Hour51-70,field12 = >50K,0.01582,515,0.00937,305,0.59223,0.00556,2.45934,3.63E-17,0.24081,7841
00003d,field1 = Age41-50 & field6 = Exec-managerial,field12 = >50K,0.03652,1189,0.02162,704,0.59209,0.01283,2.45877,4.58E-19,0.24081,7841
00003e,field6 = Prof-specialty & field1 = Age51-60,field12 = >50K,0.01704,555,0.00995,324,0.58378,0.00585,2.42426,4.95E-27,0.24081,7841
00003f,field9 = Male & field6 = Exec-managerial,field12 = >50K,0.08928,2907,0.05184,1688,0.58067,0.03034,2.41131,2.74E-88,0.24081,7841
40,field9 = Male & field1 = Age41-50 & field10 = Hour51-70,field12 = >50K,0.02294,747,0.01321,430,0.57564,0.00768,2.39042,4.88E-11,0.24081,7841
41,field3 = Bachelors & field1 = Age51-60,field12 = >50K,0.01757,572,0.0101,329,0.57517,0.00587,2.3885,7.66E-26,0.24081,7841
42,field4 = EduNum13 & field1 = Age51-60,field12 = >50K,0.01757,572,0.0101,329,0.57517,0.00587,2.3885,7.66E-26,0.24081,7841
43,field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.04204,1369,0.02392,779,0.56903,0.0138,2.36298,6.69E-15,0.24081,7841
44,field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.04204,1369,0.02392,779,0.56903,0.0138,2.36298,6.69E-15,0.24081,7841
45,field1 = Age41-50 & field4 = EduNum13,field12 = >50K,0.04023,1310,0.02273,740,0.56489,0.01304,2.34578,1.25E-36,0.24081,7841
46,field1 = Age41-50 & field3 = Bachelors,field12 = >50K,0.04023,1310,0.02273,740,0.56489,0.01304,2.34578,1.25E-36,0.24081,7841
47,field9 = Male & field6 = Prof-specialty,field12 = >50K,0.08062,2625,0.04527,1474,0.56152,0.02586,2.33182,1.56E-84,0.24081,7841
48,field7 = Husband & field10 = Hour51-70,field12 = >50K,0.05918,1927,0.03311,1078,0.55942,0.01886,2.32308,6.94E-87,0.24081,7841
49,field3 = Bachelors & field10 = Hour51-70,field12 = >50K,0.02076,676,0.01161,378,0.55917,0.00661,2.32205,1.07E-15,0.24081,7841
00004a,field4 = EduNum13 & field10 = Hour51-70,field12 = >50K,0.02076,676,0.01161,378,0.55917,0.00661,2.32205,1.07E-15,0.24081,7841
00004b,field1 = Age41-50 & field6 = Prof-specialty,field12 = >50K,0.03553,1157,0.01981,645,0.55748,0.01125,2.31501,1.83E-18,0.24081,7841
00004c,field2 = Self-emp-inc,field12 = >50K,0.03427,1116,0.0191,622,0.55735,0.01085,2.31447,6.26E-118,0.24081,7841
00004d,field5 = Married-civ-spouse & field10 = Hour51-70,field12 = >50K,0.06173,2010,0.03437,1119,0.55672,0.0195,2.31185,2.50E-94,0.24081,7841
00004e,field3 = Masters,field12 = >50K,0.05292,1723,0.02945,959,0.55659,0.01671,2.31132,2.03E-184,0.24081,7841
00004f,field4 = EduNum14,field12 = >50K,0.05292,1723,0.02945,959,0.55659,0.01671,2.31132,2.03E-184,0.24081,7841
50,field7 = Husband & field1 = Age41-50,field12 = >50K,0.1152,3751,0.06345,2066,0.55079,0.03571,2.28723,2.65E-229,0.24081,7841
51,field1 = Age51-60 & field10 = Hour51-70,field12 = >50K,0.01413,460,0.00777,253,0.55,0.00437,2.28396,2.86E-09,0.24081,7841
52,field5 = Married-civ-spouse & field1 = Age41-50,field12 = >50K,0.12841,4181,0.07054,2297,0.54939,0.03962,2.28143,1.09E-301,0.24081,7841
53,field1 = Age41-50 & field10 = Hour51-70,field12 = >50K,0.02687,875,0.01425,464,0.53029,0.00778,2.2021,6.37E-14,0.24081,7841
54,field7 = Husband & field6 = Sales,field12 = >50K,0.04625,1506,0.02414,786,0.52191,0.013,2.16732,4.32E-187,0.24081,7841
55,field7 = Husband & field1 = Age51-60,field12 = >50K,0.07395,2408,0.03808,1240,0.51495,0.02027,2.13841,4.11E-113,0.24081,7841
56,field5 = Married-civ-spouse & field1 = Age51-60,field12 = >50K,0.08065,2626,0.04109,1338,0.50952,0.02167,2.11586,1.87E-134,0.24081,7841
57,field9 = Male & field4 = EduNum13,field12 = >50K,0.11474,3736,0.0578,1882,0.50375,0.03017,2.09189,8.86E-95,0.24081,7841
