Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
31,field3 = Masters,field12 = >50K,0.05292,1723,0.02945,959,0.55659,0.01671,2.31132,2.03E-184,0.24081,7841
32,field4 = EduNum14,field12 = >50K,0.05292,1723,0.02945,959,0.55659,0.01671,2.31132,2.03E-184,0.24081,7841
33,field11 = United-States & field8 = White,field12 = >50K,0.78686,25621,0.20589,6704,0.26166,0.01641,1.08659,3.69E-15,0.24081,7841
34,field5 = Married-civ-spouse & field3 = Masters,field12 = >50K,0.0308,1003,0.02377,774,0.77168,0.01635,3.20454,1.25E-103,0.24081,7841
35,field5 = Married-civ-spouse & field4 = EduNum14,field12 = >50K,0.0308,1003,0.02377,774,0.77168,0.01635,3.20454,1.25E-103,0.24081,7841
36,field11 = United-States & field10 = Hour36-50,field12 = >50K,0.60447,19682,0.16157,5261,0.2673,0.01601,1.11001,4.84E-10,0.24081,7841
37,field9 = Male & field3 = Masters,field12 = >50K,0.03645,1187,0.02396,780,0.65712,0.01518,2.72879,4.22E-36,0.24081,7841
38,field9 = Male & field4 = EduNum14,field12 = >50K,0.03645,1187,0.02396,780,0.65712,0.01518,2.72879,4.22E-36,0.24081,7841
39,field7 = Husband & field4 = EduNum14,field12 = >50K,0.02721,886,0.02088,680,0.76749,0.01433,3.18714,8.29E-76,0.24081,7841
00003a,field7 = Husband & field3 = Masters,field12 = >50K,0.02721,886,0.02088,680,0.76749,0.01433,3.18714,8.29E-76,0.24081,7841
00003b,field5 = Married-civ-spouse & field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.02607,849,0.02039,664,0.7821,0.01411,3.24778,1.08E-95,0.24081,7841
00003c,field5 = Married-civ-spouse & field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.02607,849,0.02039,664,0.7821,0.01411,3.24778,1.08E-95,0.24081,7841
00003d,field8 = White & field1 = Age32-40,field12 = >50K,0.19941,6493,0.06204,2020,0.3111,0.01402,1.29191,3.89E-23,0.24081,7841
00003e,field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.04204,1369,0.02392,779,0.56903,0.0138,2.36298,6.69E-15,0.24081,7841
00003f,field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.04204,1369,0.02392,779,0.56903,0.0138,2.36298,6.69E-15,0.24081,7841
40,field10 = Hour36-50,field12 = >50K,0.67682,22038,0.17675,5755,0.26114,0.01376,1.08442,1.94E-36,0.24081,7841
41,field9 = Male & field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.03185,1037,0.02101,684,0.65959,0.01334,2.73907,3.77E-33,0.24081,7841
42,field9 = Male & field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.03185,1037,0.02101,684,0.65959,0.01334,2.73907,3.77E-33,0.24081,7841
43,field7 = Husband & field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.02371,772,0.01876,611,0.79145,0.01306,3.28663,1.39E-82,0.24081,7841
44,field7 = Husband & field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.02371,772,0.01876,611,0.79145,0.01306,3.28663,1.39E-82,0.24081,7841
45,field1 = Age41-50 & field4 = EduNum13,field12 = >50K,0.04023,1310,0.02273,740,0.56489,0.01304,2.34578,1.25E-36,0.24081,7841
46,field1 = Age41-50 & field3 = Bachelors,field12 = >50K,0.04023,1310,0.02273,740,0.56489,0.01304,2.34578,1.25E-36,0.24081,7841
47,field7 = Husband & field6 = Sales,field12 = >50K,0.04625,1506,0.02414,786,0.52191,0.013,2.16732,4.32E-187,0.24081,7841
48,field8 = White,field12 = >50K,0.85427,27816,0.21857,7117,0.25586,0.01286,1.0625,4.54E-58,0.24081,7841
49,field1 = Age41-50 & field6 = Exec-managerial,field12 = >50K,0.03652,1189,0.02162,704,0.59209,0.01283,2.45877,4.58E-19,0.24081,7841
00004a,field9 = Male & field1 = Age41-50 & field3 = Bachelors,field12 = >50K,0.03111,1013,0.01981,645,0.63672,0.01232,2.64409,3.03E-22,0.24081,7841
00004b,field9 = Male & field1 = Age41-50 & field4 = EduNum13,field12 = >50K,0.03111,1013,0.01981,645,0.63672,0.01232,2.64409,3.03E-22,0.24081,7841
00004c,field9 = Male & field1 = Age41-50 & field6 = Exec-managerial,field12 = >50K,0.02706,881,0.0188,612,0.69467,0.01228,2.88471,5.68E-34,0.24081,7841
00004d,field1 = Age32-40,field12 = >50K,0.23519,7658,0.06827,2223,0.29028,0.01164,1.20545,2.12E-30,0.24081,7841
00004e,field7 = Wife,field12 = >50K,0.04816,1568,0.02288,745,0.47513,0.01128,1.97304,2.04E-95,0.24081,7841
00004f,field1 = Age41-50 & field6 = Prof-specialty,field12 = >50K,0.03553,1157,0.01981,645,0.55748,0.01125,2.31501,1.83E-18,0.24081,7841
50,field5 = Married-civ-spouse & field2 = Self-emp-inc,field12 = >50K,0.02571,837,0.01738,566,0.67622,0.01119,2.80813,6.44E-45,0.24081,7841
51,field2 = Self-emp-inc,field12 = >50K,0.03427,1116,0.0191,622,0.55735,0.01085,2.31447,6.26E-118,0.24081,7841
52,field1 = Age32-40 & field4 = EduNum13,field12 = >50K,0.04441,1446,0.02138,696,0.48133,0.01068,1.99879,1.25E-09,0.24081,7841
53,field1 = Age32-40 & field3 = Bachelors,field12 = >50K,0.04441,1446,0.02138,696,0.48133,0.01068,1.99879,1.25E-09,0.24081,7841
54,field9 = Male & field2 = Self-emp-inc,field12 = >50K,0.03013,981,0.01784,581,0.59225,0.01059,2.45942,2.06E-10,0.24081,7841
55,field7 = Husband & field2 = Self-emp-inc,field12 = >50K,0.02414,786,0.0164,534,0.67939,0.01059,2.82127,2.39E-37,0.24081,7841
56,field9 = Male & field1 = Age41-50 & field6 = Prof-specialty,field12 = >50K,0.02325,757,0.01597,520,0.68692,0.01037,2.85255,1.33E-34,0.24081,7841
57,field9 = Male & field6 = Sales,field12 = >50K,0.07334,2388,0.02749,895,0.37479,0.00983,1.55638,7.86E-101,0.24081,7841
58,field4 = EduNum15,field12 = >50K,0.01769,576,0.01299,423,0.73438,0.00873,3.04961,3.57E-140,0.24081,7841
59,field3 = Prof-school,field12 = >50K,0.01769,576,0.01299,423,0.73438,0.00873,3.04961,3.57E-140,0.24081,7841
00005a,field6 = Exec-managerial & field10 = Hour51-70,field12 = >50K,0.02138,696,0.01333,434,0.62356,0.00818,2.58945,2.47E-33,0.24081,7841
00005b,field9 = Male & field4 = EduNum15,field12 = >50K,0.01486,484,0.0117,381,0.78719,0.00812,3.26893,4.46E-10,0.24081,7841
00005c,field9 = Male & field3 = Prof-school,field12 = >50K,0.01486,484,0.0117,381,0.78719,0.00812,3.26893,4.46E-10,0.24081,7841
00005d,field1 = Age51-60 & field6 = Exec-managerial,field12 = >50K,0.02061,671,0.01287,419,0.62444,0.00791,2.59309,9.47E-16,0.24081,7841
00005e,field1 = Age41-50 & field10 = Hour51-70,field12 = >50K,0.02687,875,0.01425,464,0.53029,0.00778,2.2021,6.37E-14,0.24081,7841
00005f,field6 = Exec-managerial & field3 = Masters,field12 = >50K,0.01539,501,0.01142,372,0.74251,0.00772,3.08341,3.43E-24,0.24081,7841
60,field6 = Exec-managerial & field4 = EduNum14,field12 = >50K,0.01539,501,0.01142,372,0.74251,0.00772,3.08341,3.43E-24,0.24081,7841
61,field9 = Male & field1 = Age41-50 & field10 = Hour51-70,field12 = >50K,0.02294,747,0.01321,430,0.57564,0.00768,2.39042,4.88E-11,0.24081,7841
62,field5 = Married-civ-spouse & field3 = Prof-school,field12 = >50K,0.01265,412,0.01063,346,0.83981,0.00758,3.48743,1.54E-18,0.24081,7841
63,field5 = Married-civ-spouse & field4 = EduNum15,field12 = >50K,0.01265,412,0.01063,346,0.83981,0.00758,3.48743,1.54E-18,0.24081,7841
